m,country,years,age,survivors
SLE,Sierra Leone,2005-2010,0.0,100000.0
SLE,Sierra Leone,2005-2010,1.0,88341.79
SLE,Sierra Leone,2005-2010,5.0,80831.0
SLE,Sierra Leone,2005-2010,10.0,76823.74
SLE,Sierra Leone,2005-2010,15.0,74873.42
SLE,Sierra Leone,2005-2010,20.0,72089.97
SLE,Sierra Leone,2005-2010,25.0,68743.87
SLE,Sierra Leone,2005-2010,30.0,65281.75
SLE,Sierra Leone,2005-2010,35.0,61871.12
SLE,Sierra Leone,2005-2010,40.0,58410.66
SLE,Sierra Leone,2005-2010,45.0,55005.82
SLE,Sierra Leone,2005-2010,50.0,51537.46
SLE,Sierra Leone,2005-2010,55.0,47266.46
SLE,Sierra Leone,2005-2010,60.0,41928.56
SLE,Sierra Leone,2005-2010,65.0,34392.54
SLE,Sierra Leone,2005-2010,70.0,25170.37
SLE,Sierra Leone,2005-2010,75.0,15036.1
SLE,Sierra Leone,2005-2010,80.0,6536.34
SLE,Sierra Leone,2005-2010,85.0,1740.78
NGA,Nigeria,2005-2010,0.0,100000.0
NGA,Nigeria,2005-2010,1.0,91533.82
NGA,Nigeria,2005-2010,5.0,86380.99
NGA,Nigeria,2005-2010,10.0,83158.76
NGA,Nigeria,2005-2010,15.0,81551.71
NGA,Nigeria,2005-2010,20.0,79187.72
NGA,Nigeria,2005-2010,25.0,76313.96
NGA,Nigeria,2005-2010,30.0,73287.38
NGA,Nigeria,2005-2010,35.0,70276.14
NGA,Nigeria,2005-2010,40.0,67157.09
NGA,Nigeria,2005-2010,45.0,63995.71
NGA,Nigeria,2005-2010,50.0,60679.91
NGA,Nigeria,2005-2010,55.0,56519.0
NGA,Nigeria,2005-2010,60.0,51194.81
NGA,Nigeria,2005-2010,65.0,43510.14
NGA,Nigeria,2005-2010,70.0,33596.0
NGA,Nigeria,2005-2010,75.0,21816.0
NGA,Nigeria,2005-2010,80.0,10757.02
NGA,Nigeria,2005-2010,85.0,3425.47
CIV,Côte d'Ivoire,2005-2010,0.0,100000.0
CIV,Côte d'Ivoire,2005-2010,1.0,92295.46
CIV,Côte d'Ivoire,2005-2010,5.0,88815.0
CIV,Côte d'Ivoire,2005-2010,10.0,83816.78
CIV,Côte d'Ivoire,2005-2010,15.0,81512.03
CIV,Côte d'Ivoire,2005-2010,20.0,78966.17
CIV,Côte d'Ivoire,2005-2010,25.0,76126.34
CIV,Côte d'Ivoire,2005-2010,30.0,72933.17
CIV,Côte d'Ivoire,2005-2010,35.0,69396.3
CIV,Côte d'Ivoire,2005-2010,40.0,65556.57
CIV,Côte d'Ivoire,2005-2010,45.0,61563.55
CIV,Côte d'Ivoire,2005-2010,50.0,57489.52
CIV,Côte d'Ivoire,2005-2010,55.0,52829.78
CIV,Côte d'Ivoire,2005-2010,60.0,47093.44
CIV,Côte d'Ivoire,2005-2010,65.0,39794.04
